Country/Region,Province/State,Lat,Long,TotalConfirmed,TotalDeaths,TotalRecovered,TotalPopulation,
Malawi,NA,-13.2543,34.3015,5842,181,4735,18628747,
Malaysia,NA,4.210484,101.975766,18758,176,12259,31949777,
Maldives,NA,3.2028,73.2207,11154,35,9995,530953,
Mali,NA,17.570692,-3.996166,3378,132,2563,19658031,
Malta,NA,35.9375,14.3754,4282,45,3142,502653,
Mauritania,NA,21.0079,-10.9408,7603,163,7339,4525696,
Mauritius,NA,-20.348404,57.552152,417,10,364,1265711,
Mexico,NA,23.6345,-102.5528,841661,85704,712250,127575529,
Moldova,NA,47.4116,28.3699,65860,1549,46543,2657637,
Monaco,NA,43.7333,7.4167,255,2,217,38964,
Mongolia,NA,46.8625,103.8467,320,0,311,3225167,
Montenegro,NA,42.708678,19.37439,15281,228,10569,622137,
Morocco,NA,31.7917,-7.0926,167148,2818,138989,36471769,
Mozambique,NA,-18.665695,35.529562,10612,73,NA,30366036,
Namibia,NA,-22.9576,18.4904,12215,131,10360,2494530,
Nepal,NA,28.1667,84.25,126137,715,88040,28608710,
Netherlands,"Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,150,2,111,17332850,
Netherlands,Aruba,12.5211,-69.9683,4289,32,3947,17332850,
Netherlands,NA,52.1326,5.2913,211938,6708,0,17332850,
Netherlands,Sint Maarten,18.0425,-63.0548,746,22,659,17332850,
Netherlands,Curacao,12.1696,-68.99,698,1,391,17332850,
New Zealand,NA,-40.9006,174.886,1883,25,1818,4917000,
Nicaragua,NA,12.865416,-85.207229,5353,154,4225,6545502,
Niger,NA,17.607789,8.081666,1209,69,1126,23310715,
Nigeria,NA,9.082,8.6753,61194,1119,52304,200963599,
North Macedonia,NA,41.6086,21.7453,22607,821,16949,2083459,
Norway,NA,60.472,8.4689,16272,278,11863,5347896,
Oman,NA,21.512583,55.923255,108296,1071,94229,4974986,
Pakistan,NA,30.3753,69.3451,322452,6638,306640,216565318,
Panama,NA,8.538,-80.7821,123498,2546,99286,4246439,
Papua New Guinea,NA,-6.314993,143.95555,578,7,537,8776109,
Paraguay,NA,-23.4425,-58.4438,53482,1165,34927,7044636,
Peru,NA,-9.19,-75.0152,859740,33577,769077,32510453,
Philippines,NA,12.879721,121.774017,351750,6531,294865,108116615,
Poland,NA,51.9194,19.1451,157608,3440,87773,37970874,
Portugal,NA,39.3999,-8.2245,95902,2149,56066,10269417,
